,topic,title,description,tags,published_dt
110856078925801_2896962073764007,uncertain,"حياكم الله... سعداء برؤيتكم مجدداً في مكاتبكم.
حان وقت العودة للعمل في مقرات شركتنا بعد قضاء فترة من العمل عن بعد حفاظاً على سلامتكم  وسلامة عائلاتكم. 
شاهدوا التحضيرات الخاصة التي جهزتها الشركة للتأكد من سلامة الجميع.
\\
We’re heading back to our offices! Our teams have done an awesome job staying home and safe, but now it’s time to come back. Check out how we've prepared for everyone's return in this video.
#Ooredoo",,,7/2/20 12:19
110856078925801_263830618373220,uncertain,"✨🔴🤩
‎لقد أصبح التواصل عبر وسائل التواصل الاجتماعي جزءاً مهماً في حياتنا لا سيما في الظروف الحالية التي يمر بها العالم. ابق على تواصل مع الأهل والأصدقاء.
✨🔴🤩
Has it ever been more important? Celebrate #WorldSocialMediaDay with a post or three about your life today!
#Ooredoo",,,6/30/20 15:39
110856078925801_282890829736835,uncertain,"✨🔴📸
‎من منا لا يحب التقاط الصور؟! بمناسبة يوم الكاميرا، شاركنا أفضل الصور التي التقطتها خلال الفترة الماضية وأظهر للعالم مهارتك في التصوير.
📸✨🔴
Get snap-happy this #WorldCameraDay! Whether it’s shots of friends, family or more, get the camera out and get clicking. 
#Ooredoo",,,6/29/20 19:17
110856078925801_274184163917671,uncertain,"✨🔴
‎شنو أكثر كرسي مشتاقين له؟ 😂
✨🔴
Which chair do you miss the most?😂
#Ooredoo",,,6/28/20 19:53
110856078925801_1505198202985880,uncertain,"Help us keep everyone in Qatar safe and healthy.
#LetsKeepQatarSafe
#Ooredoo",,,6/28/20 15:07
110856078925801_2896181457175015,uncertain,"ساهم معنا في جهودنا للحفاظ على سلامة وأمان الجميع في قطر.
#لتبقى_قطر_بأمان
#Ooredoo",,,6/28/20 15:05
110856078925801_587676401951766,uncertain,"In the past few months, demand for Ooredoo services has increased exponentially. Our retail staff have been serving our customers tirelessly and with full dedication. We’ve adapted our shops to the highest health and safety standards, we’ve added new locations and we’ve moved our care and services online to make your life easier. 
Proud of our frontliners for their efforts to keep our customers always happy and connected especially during these exceptional times. Shout out to the real heroes! 💪🏻
#Ooredoo",,,6/22/20 10:45
110856078925801_1630803897094545,uncertain,"لم يدخر موظفونا في مراكز Ooredoo أي جهد لخدمة عملائنا في كل الأوقات، على الرغم من الإقبال الكبير على خدماتنا في هذه الأوقات الاستثنائية. فقد التزمنا بجميع الإجراءات الاحترازية للحفاظ على صحة عملائنا وموظفينا على حد سواء. كما أضفنا مواقع جديدة للخدمة وعززنا خدماتنا الإلكترونية لتمكين العملاء من الحصول على خدماتنا بسهولة وسرعة.
نحن فخورون بجهود كل أبطالنا في الخطوط الأمامية ونشكرهم على جهودهم وعملهم الجاد وتفانيهم في مساعدة عملائنا حتى في أصعب الأوقات.. 
أنتم أبطالنا الحقيقيون 💪🏻
#Ooredoo",,,6/22/20 10:43
110856078925801_719661825462061,uncertain,"We’re super proud to be Platinum Sponsor of Team Qatar Virtual Games! Join Team Qatar for 4 weeks of running, cycling and e-games with Team Qatar champions  from 21 June until 17 July 2020. #StayHome and #StaySafe but stay fit, active and healthy too! It’s the perfect way to start your preparations for the Ooredoo Doha Marathon 2021. 
Register Now. 

https://live.sporthive.com/event/3638/App for more. Enjoy!
#Ooredoo #SportForLife",,,6/19/20 21:18
110856078925801_1090695377997823,uncertain,"نعتز بكوننا الراعي البلاتيني  لألعاب قطر الافتراضية، التي تنظمها اللجنة الأولمبية القطرية! انضم إلى أبطال الادعم وشارك في فعاليات الجري والدراجات الهوائية والألعاب الإلكترونية من المنزل على مدار 4 أسابيع، خلال الفترة من 21 يونيو حتى 17 يوليو 2020. حافظ على صحتك ونشاطك أثناء البقاء في المنزل بأمان من خلال التسجيل للمشاركة في هذا الحدث الافتراضي الهام وابدأ الاستعداد لماراثون Ooredoo الدوحة 2021. 
سجل الأن عبر الرابط 

https://live.sporthive.com/event/3638/App
#Ooredoo #SportForLife",,,6/19/20 21:17
110856078925801_568943883809140,uncertain,"اشتقتوا للبحر؟ 😍
✨🔴🌊🏖
Missing the beach? 😍
#Ooredoo",,,6/19/20 14:02
110856078925801_293017732058556,uncertain,"We’re super proud to be Platinum Sponsor of Team Qatar Virtual Games! Join Team Qatar for 4 weeks of running, cycling and e-games with Team Qatar champions  from 21 June until 17 July 2020. #StayHome and #StaySafe but stay fit, active and healthy too! It’s the perfect way to start your preparations for the Ooredoo Doha Marathon 2021. 
Register Now. 

https://live.sporthive.com/event/3638/App for more. Enjoy!
#Ooredoo #SportForLife",,,6/16/20 18:03
110856078925801_580445492868439,uncertain,"نعتز بكوننا الراعي البلاتيني  لألعاب قطر الافتراضية، التي تنظمها اللجنة الأولمبية القطرية! انضم إلى أبطال الادعم وشارك في فعاليات الجري والدراجات الهوائية والألعاب الإلكترونية من المنزل على مدار 4 أسابيع، خلال الفترة من 21 يونيو حتى 17 يوليو 2020. حافظ على صحتك ونشاطك أثناء البقاء في المنزل بأمان من خلال التسجيل للمشاركة في هذا الحدث الافتراضي الهام وابدأ الاستعداد لماراثون Ooredoo الدوحة 2021. 
سجل الأن عبر الرابط 

https://live.sporthive.com/event/3638/App
#Ooredoo #SportForLife",,,6/16/20 18:01
110856078925801_2755129544807978,uncertain,"✨
🔴 عملاءنا الاعزاء ، لسلامتكم يرجى إبراز الحالة الصحية ""اللون الأخضر"" عبر تطبيق احتراز قبل الدخول إلى مراكز Ooredoo. إذ سيسمح فقط للعملاء الذين يظهر التطبيق حالتهم الصحية باللون الأخضر بالدخول، مع ضرورة ارتداء الكمامة.

🔴✨
Dear customers, please show your Ehteraz App before entering Ooredoo shops. Only customers with a green ‘Good Health’ status and a face mask will be allowed inside.

#Ooredoo",,,6/16/20 12:09
110856078925801_715308825951613,uncertain,"‏🔴✨
‏كلمة حضرة صاحب السمو  أمير البلاد المفدى حفظه الله ورعاه بمناسبة تدشين استاد المدينة التعليمية ثالث استادات كأس العالم في قطر 2022
‏⁧‫#استاد_المدينة_التعليمية‬⁩ 
‏⁧‫#قطر٢٠٢٢‬⁩
‏⁧‫#أبطال_الأمل‬⁩
‏⁦‪#Qatar2022‬⁩
‏⁦‪#Ooredoo‬⁩",,,6/15/20 20:35
110856078925801_303433343996726,uncertain,"{فِي بُيُوتٍ أَذِنَ اللَّهُ أَنْ تُرْفَعَ وَيُذْكَرَ فِيهَا اسْمُهُ يُسَبِّحُ لَهُ فِيهَا بِالْغُدُوِّ وَالْآصَالِ}
#الحمد_لله
#Ooredoo",,,6/15/20 9:20
110856078925801_273339767203409,uncertain,"✨🔴📸🤩

‎منشن اللي قاعد يتفنن فالتصوير فالبيت

‎#خلك_فالبيت_مع_Ooredoo
‎‏#لأجل_قطر_كلنا_في_البيت
✨🤩🔴📸
Mention a friend who keeps taking photos of their home

#StayHomeWithOoredoo
#ForQatarStayHome
#Ooredoo",,,6/15/20 8:48
110856078925801_549815102370825,uncertain,"🤩✨🔴
متحمسين؟ 🎮

‎#خلك_فالبيت_مع_Ooredoo
‎‏#لأجل_قطر_كلنا_في_البيت
🔴🤩✨
Excited? 🎮
#Ooredoo 
#StayHomeWithOoredoo
#ForQatarStayHome",,,6/11/20 21:11
110856078925801_292121402178595,uncertain,"Adding a Netflix subscription to Ooredoo Bill

